student_id,academic_year,cohort,start_cohort,sub_cohort,status
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2019-2020,7,7,A,active
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2020-2021,8,7,A,active
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2021-2022,9,7,A,active
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2022-2023,10,7,A,active
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2023-2024,11,7,A,active
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2024-2025,12,7,A,active
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2019-2020,7,7,A,active
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2020-2021,8,7,A,active
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2021-2022,9,7,A,active
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2022-2023,10,7,A,active
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2023-2024,11,7,A,active
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2024-2025,12,7,A,active
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2019-2020,7,7,A,active
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2020-2021,8,7,A,active
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2021-2022,9,7,A,active
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2022-2023,10,7,A,active
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2023-2024,11,7,A,active
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2024-2025,12,7,A,active
b2b56eeb-6544-449d-8501-38c81fd1a64c,2019-2020,7,7,A,active
b2b56eeb-6544-449d-8501-38c81fd1a64c,2020-2021,8,7,A,active
b2b56eeb-6544-449d-8501-38c81fd1a64c,2021-2022,9,7,A,active
b2b56eeb-6544-449d-8501-38c81fd1a64c,2022-2023,10,7,A,active
b2b56eeb-6544-449d-8501-38c81fd1a64c,2023-2024,11,7,A,active
b2b56eeb-6544-449d-8501-38c81fd1a64c,2024-2025,12,7,A,active
cb89fc48-9013-42a3-9477-eed170e1a12e,2019-2020,7,7,A,active
cb89fc48-9013-42a3-9477-eed170e1a12e,2020-2021,8,7,A,active
cb89fc48-9013-42a3-9477-eed170e1a12e,2021-2022,9,7,A,active
cb89fc48-9013-42a3-9477-eed170e1a12e,2022-2023,10,7,A,active
cb89fc48-9013-42a3-9477-eed170e1a12e,2023-2024,11,7,A,active
cb89fc48-9013-42a3-9477-eed170e1a12e,2024-2025,12,7,A,active
354a839f-d05b-4578-8c90-4851b6d266bd,2019-2020,7,7,A,active
354a839f-d05b-4578-8c90-4851b6d266bd,2020-2021,8,7,A,active
354a839f-d05b-4578-8c90-4851b6d266bd,2021-2022,9,7,A,active
354a839f-d05b-4578-8c90-4851b6d266bd,2022-2023,10,7,A,active
354a839f-d05b-4578-8c90-4851b6d266bd,2023-2024,11,7,A,active
354a839f-d05b-4578-8c90-4851b6d266bd,2024-2025,12,7,A,active
acd1a447-c14e-4f08-837f-fe349cab58aa,2019-2020,7,7,A,active
acd1a447-c14e-4f08-837f-fe349cab58aa,2020-2021,8,7,A,active
acd1a447-c14e-4f08-837f-fe349cab58aa,2021-2022,9,7,A,active
acd1a447-c14e-4f08-837f-fe349cab58aa,2022-2023,10,7,A,active
acd1a447-c14e-4f08-837f-fe349cab58aa,2023-2024,11,7,A,active
acd1a447-c14e-4f08-837f-fe349cab58aa,2024-2025,12,7,A,active
fe4ab165-3b16-4bd6-a51d-caaeb37ede92,2019-2020,7,7,A,active
fe4ab165-3b16-4bd6-a51d-caaeb37ede92,2020-2021,8,7,A,active
fe4ab165-3b16-4bd6-a51d-caaeb37ede92,2021-2022,9,7,A,active
fe4ab165-3b16-4bd6-a51d-caaeb37ede92,2022-2023,10,7,A,active
fe4ab165-3b16-4bd6-a51d-caaeb37ede92,2023-2024,11,7,A,active
fe4ab165-3b16-4bd6-a51d-caaeb37ede92,2024-2025,12,7,A,active
8c0e1e01-8cb0-418d-b2bc-1ae4b13d70d8,2019-2020,7,7,A,active
8c0e1e01-8cb0-418d-b2bc-1ae4b13d70d8,2020-2021,8,7,A,active
8c0e1e01-8cb0-418d-b2bc-1ae4b13d70d8,2021-2022,9,7,A,active
8c0e1e01-8cb0-418d-b2bc-1ae4b13d70d8,2022-2023,10,7,A,active
8c0e1e01-8cb0-418d-b2bc-1ae4b13d70d8,2023-2024,11,7,A,active
8c0e1e01-8cb0-418d-b2bc-1ae4b13d70d8,2024-2025,12,7,A,active
0565ea1d-08d5-41b8-826c-73b31153a0f1,2019-2020,7,7,A,active
0565ea1d-08d5-41b8-826c-73b31153a0f1,2020-2021,8,7,A,active
0565ea1d-08d5-41b8-826c-73b31153a0f1,2021-2022,9,7,A,active
0565ea1d-08d5-41b8-826c-73b31153a0f1,2022-2023,10,7,A,active
0565ea1d-08d5-41b8-826c-73b31153a0f1,2023-2024,11,7,A,active
0565ea1d-08d5-41b8-826c-73b31153a0f1,2024-2025,12,7,A,active
247f6ec8-a1a3-4e95-bbd7-8e7443f67dcf,2019-2020,7,7,A,active
247f6ec8-a1a3-4e95-bbd7-8e7443f67dcf,2020-2021,8,7,A,active
247f6ec8-a1a3-4e95-bbd7-8e7443f67dcf,2021-2022,9,7,A,active
247f6ec8-a1a3-4e95-bbd7-8e7443f67dcf,2022-2023,10,7,A,active
247f6ec8-a1a3-4e95-bbd7-8e7443f67dcf,2023-2024,11,7,A,active
247f6ec8-a1a3-4e95-bbd7-8e7443f67dcf,2024-2025,12,7,A,active
0b8dca40-6354-4d3a-9c93-fb1d42e8a06d,2019-2020,7,7,A,active
0b8dca40-6354-4d3a-9c93-fb1d42e8a06d,2020-2021,8,7,A,active
0b8dca40-6354-4d3a-9c93-fb1d42e8a06d,2021-2022,9,7,A,active
0b8dca40-6354-4d3a-9c93-fb1d42e8a06d,2022-2023,10,7,A,active
0b8dca40-6354-4d3a-9c93-fb1d42e8a06d,2023-2024,11,7,A,active
0b8dca40-6354-4d3a-9c93-fb1d42e8a06d,2024-2025,12,7,A,active
f628b27f-2ad8-48fa-a9c2-b19d2fd3827b,2019-2020,7,7,A,active
f628b27f-2ad8-48fa-a9c2-b19d2fd3827b,2020-2021,8,7,A,active
f628b27f-2ad8-48fa-a9c2-b19d2fd3827b,2021-2022,9,7,A,active
f628b27f-2ad8-48fa-a9c2-b19d2fd3827b,2022-2023,10,7,A,active
f628b27f-2ad8-48fa-a9c2-b19d2fd3827b,2023-2024,11,7,A,active
f628b27f-2ad8-48fa-a9c2-b19d2fd3827b,2024-2025,12,7,A,active
696b60ac-df8d-4081-98cb-9761056e89f6,2019-2020,7,7,A,active
696b60ac-df8d-4081-98cb-9761056e89f6,2020-2021,8,7,A,active
696b60ac-df8d-4081-98cb-9761056e89f6,2021-2022,9,7,A,active
696b60ac-df8d-4081-98cb-9761056e89f6,2022-2023,10,7,A,active
696b60ac-df8d-4081-98cb-9761056e89f6,2023-2024,11,7,A,active
696b60ac-df8d-4081-98cb-9761056e89f6,2024-2025,12,7,A,active
6c93312a-0517-42a4-bb0c-e708d1a92c2b,2019-2020,7,7,A,active
6c93312a-0517-42a4-bb0c-e708d1a92c2b,2020-2021,8,7,A,active
6c93312a-0517-42a4-bb0c-e708d1a92c2b,2021-2022,9,7,A,active
6c93312a-0517-42a4-bb0c-e708d1a92c2b,2022-2023,10,7,A,active
6c93312a-0517-42a4-bb0c-e708d1a92c2b,2023-2024,11,7,A,active
6c93312a-0517-42a4-bb0c-e708d1a92c2b,2024-2025,12,7,A,active
baa42367-c613-4e21-bd73-b945a6850ba0,2019-2020,7,7,B,active
baa42367-c613-4e21-bd73-b945a6850ba0,2020-2021,8,7,B,active
baa42367-c613-4e21-bd73-b945a6850ba0,2021-2022,9,7,B,active
baa42367-c613-4e21-bd73-b945a6850ba0,2022-2023,10,7,B,active
baa42367-c613-4e21-bd73-b945a6850ba0,2023-2024,11,7,B,active
baa42367-c613-4e21-bd73-b945a6850ba0,2024-2025,12,7,B,active
c2882cc9-a299-4256-9cb6-0e5141bbd88f,2019-2020,7,7,B,active
c2882cc9-a299-4256-9cb6-0e5141bbd88f,2020-2021,8,7,B,active
c2882cc9-a299-4256-9cb6-0e5141bbd88f,2021-2022,9,7,B,active
c2882cc9-a299-4256-9cb6-0e5141bbd88f,2022-2023,10,7,B,active
c2882cc9-a299-4256-9cb6-0e5141bbd88f,2023-2024,11,7,B,active
c2882cc9-a299-4256-9cb6-0e5141bbd88f,2024-2025,12,7,B,active
beae2e38-0c59-4063-a3ff-bcae1e0c94d2,2019-2020,7,7,B,active
beae2e38-0c59-4063-a3ff-bcae1e0c94d2,2020-2021,8,7,B,active
beae2e38-0c59-4063-a3ff-bcae1e0c94d2,2021-2022,9,7,B,active
beae2e38-0c59-4063-a3ff-bcae1e0c94d2,2022-2023,10,7,B,active
beae2e38-0c59-4063-a3ff-bcae1e0c94d2,2023-2024,11,7,B,active
beae2e38-0c59-4063-a3ff-bcae1e0c94d2,2024-2025,12,7,B,active
4170287a-1dba-4c06-b9a6-a4715d9aff04,2019-2020,7,7,B,active
4170287a-1dba-4c06-b9a6-a4715d9aff04,2020-2021,8,7,B,active
4170287a-1dba-4c06-b9a6-a4715d9aff04,2021-2022,9,7,B,active
4170287a-1dba-4c06-b9a6-a4715d9aff04,2022-2023,10,7,B,active
4170287a-1dba-4c06-b9a6-a4715d9aff04,2023-2024,11,7,B,active
4170287a-1dba-4c06-b9a6-a4715d9aff04,2024-2025,12,7,B,active
23beb5c2-c86a-428a-85a3-9cb9fbe9c389,2019-2020,7,7,B,active
23beb5c2-c86a-428a-85a3-9cb9fbe9c389,2020-2021,8,7,B,active
23beb5c2-c86a-428a-85a3-9cb9fbe9c389,2021-2022,9,7,B,active
23beb5c2-c86a-428a-85a3-9cb9fbe9c389,2022-2023,10,7,B,active
23beb5c2-c86a-428a-85a3-9cb9fbe9c389,2023-2024,11,7,B,active
23beb5c2-c86a-428a-85a3-9cb9fbe9c389,2024-2025,12,7,B,active
