student_id,academic_year,cohort,start_cohort,sub_cohort,status,who5_mean,who5_sd,engagement_mean,engagement_sd,dynamic_flag_count,static_flag_count,total_flag_count
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2019-2020,7,7,A,active,40.1025641025641,12.863237850137255,51.181295452280544,24.42572870728326,1.0,0.0,1.0
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2020-2021,8,7,A,active,41.84615384615385,12.610643920156164,65.62426004112497,21.894439399365123,1.0,0.0,1.0
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2021-2022,9,7,A,active,86.56410256410257,10.072878833243445,41.58369334042204,20.085164515515498,1.0,0.0,1.0
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2022-2023,10,7,A,active,56.41025641025641,12.642280666827462,45.9825973482853,28.52810317006562,3.0,0.0,3.0
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2023-2024,11,7,A,active,78.05128205128206,10.891688569365071,40.452614756743635,18.840268519293325,2.0,0.0,2.0
30d7ca8c-87c5-490c-ac6a-fd4167ed38e3,2024-2025,12,7,A,active,73.84615384615384,13.76023726374861,60.53063039176332,25.024906401336573,5.0,0.0,5.0
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2019-2020,7,7,A,active,40.1025641025641,13.345203892656425,41.17329890331415,24.89043578776746,0.0,1.0,1.0
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2020-2021,8,7,A,active,78.97435897435898,8.545504141104901,43.12695644460114,20.281526093922505,0.0,1.0,1.0
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2021-2022,9,7,A,active,73.02564102564102,12.198980068425865,51.39505827183242,27.180685125645468,1.0,1.0,2.0
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2022-2023,10,7,A,active,64.3076923076923,12.08338103206184,50.06913163339152,23.264592350118015,3.0,1.0,4.0
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2023-2024,11,7,A,active,47.8974358974359,12.05206877151862,45.51659528206998,21.865203267768,1.0,1.0,2.0
eac1ea9a-0742-44fa-b3b3-6b7346f3d161,2024-2025,12,7,A,active,59.48717948717949,12.885879245927331,47.419349512543505,21.239536693829773,1.0,1.0,2.0
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2019-2020,7,7,A,active,44.30769230769231,13.623033602484176,52.87714500417453,20.66310532050706,3.0,0.0,3.0
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2020-2021,8,7,A,active,35.48717948717949,13.739822635168325,50.55732505216109,21.75203325810192,2.0,0.0,2.0
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2021-2022,9,7,A,active,88.0,8.360307221753594,50.45840735476512,30.666132137293346,3.0,0.0,3.0
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2022-2023,10,7,A,active,58.46153846153846,10.958885253158863,59.71378291003243,22.967800536079498,3.0,0.0,3.0
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2023-2024,11,7,A,active,86.87179487179488,7.619847654159798,58.13968851350288,22.95271407863951,1.0,0.0,1.0
4ba2bca0-bf43-485b-aa16-6f6ad5b7e509,2024-2025,12,7,A,active,67.17948717948718,11.794003371186909,48.04235011579441,22.940423154807064,,,
b2b56eeb-6544-449d-8501-38c81fd1a64c,2019-2020,7,7,A,active,77.02564102564102,11.95493111095778,50.761322973857354,20.89624439964995,2.0,2.0,4.0
b2b56eeb-6544-449d-8501-38c81fd1a64c,2020-2021,8,7,A,active,31.28205128205128,11.196683526710082,55.50723871145792,20.10861220515714,0.0,2.0,2.0
b2b56eeb-6544-449d-8501-38c81fd1a64c,2021-2022,9,7,A,active,51.58974358974359,10.96577918300466,48.94329893180083,24.330890614724915,1.0,2.0,3.0
b2b56eeb-6544-449d-8501-38c81fd1a64c,2022-2023,10,7,A,active,52.92307692307692,14.021383322746754,55.40738253175626,21.38402509648701,0.0,2.0,2.0
b2b56eeb-6544-449d-8501-38c81fd1a64c,2023-2024,11,7,A,active,62.97435897435897,13.446751083806507,47.91478190685431,21.96644932582394,0.0,2.0,2.0
b2b56eeb-6544-449d-8501-38c81fd1a64c,2024-2025,12,7,A,active,43.48717948717949,12.72145265387689,47.40256348456895,19.602054187090026,0.0,2.0,2.0
cb89fc48-9013-42a3-9477-eed170e1a12e,2019-2020,7,7,A,active,84.0,11.424811411549586,56.616669437639324,25.638686388675936,1.0,0.0,1.0
cb89fc48-9013-42a3-9477-eed170e1a12e,2020-2021,8,7,A,active,81.23076923076923,8.566954683585482,55.66293256964155,19.57558931286247,1.0,0.0,1.0
cb89fc48-9013-42a3-9477-eed170e1a12e,2021-2022,9,7,A,active,73.64102564102564,12.23344677402936,58.06013606560418,24.02968988097755,3.0,0.0,3.0
cb89fc48-9013-42a3-9477-eed170e1a12e,2022-2023,10,7,A,active,69.33333333333333,12.046692783396773,58.73213970987813,23.460086904912504,4.0,0.0,4.0
cb89fc48-9013-42a3-9477-eed170e1a12e,2023-2024,11,7,A,active,84.41025641025641,8.248502092781992,60.7827904344655,20.464957620978403,1.0,0.0,1.0
cb89fc48-9013-42a3-9477-eed170e1a12e,2024-2025,12,7,A,active,54.35897435897436,11.70579518980411,39.5648090996503,22.735144943259343,3.0,0.0,3.0
354a839f-d05b-4578-8c90-4851b6d266bd,2019-2020,7,7,A,active,67.28205128205128,12.678096980617104,60.6085845665753,24.64992040900388,2.0,0.0,2.0
354a839f-d05b-4578-8c90-4851b6d266bd,2020-2021,8,7,A,active,81.43589743589743,11.442751950458861,61.58892554664606,22.936574205237587,2.0,0.0,2.0
354a839f-d05b-4578-8c90-4851b6d266bd,2021-2022,9,7,A,active,49.64102564102564,12.936051580730702,46.82516207999915,24.43962883827017,2.0,0.0,2.0
354a839f-d05b-4578-8c90-4851b6d266bd,2022-2023,10,7,A,active,39.282051282051285,14.033697636963751,50.298891807153126,29.068002873687664,4.0,0.0,4.0
354a839f-d05b-4578-8c90-4851b6d266bd,2023-2024,11,7,A,active,37.53846153846154,11.149335958149809,51.31805044679035,23.38753608881798,2.0,0.0,2.0
354a839f-d05b-4578-8c90-4851b6d266bd,2024-2025,12,7,A,active,42.05128205128205,11.045238836017509,57.05480967797304,21.762120479605098,2.0,0.0,2.0
acd1a447-c14e-4f08-837f-fe349cab58aa,2019-2020,7,7,A,active,70.05128205128206,11.889731788282733,46.58693648001652,19.957834640558957,2.0,1.0,3.0
acd1a447-c14e-4f08-837f-fe349cab58aa,2020-2021,8,7,A,active,74.76923076923077,13.36622124780763,58.44325784272396,19.81650332715947,1.0,1.0,2.0
acd1a447-c14e-4f08-837f-fe349cab58aa,2021-2022,9,7,A,active,52.92307692307692,13.625410887835573,52.33805741822193,23.928687013300564,2.0,1.0,3.0
